区中文,drive_Aij,walk_Aij,near_Aij,plus_Aij
宝安区,1694.923337,833.6675809,5525.889712,8054.231584
大鹏新区,194.1352084,209.0398776,277.4200638,680.5951499
福田区,1109.110167,840.7137902,1672.056596,3621.880553
光明区,181.8938741,110.9641326,203.1587342,496.016741
龙岗区,978.6789327,788.722272,3693.033022,5460.434226
龙华区,780.8164622,257.7745215,632.7301923,1671.321176
罗湖区,559.5337897,389.3305806,6623.532724,7572.397094
南山区,2213.51371,729.1305258,1215.872341,4158.516577
坪山区,781.322832,175.0690192,2421.01135,3377.403201
盐田区,218.5967764,55.92263289,270.6416663,545.1610756
(空白),102.7111552,93.62601464,104.0617166,300.3988864
总计,8815.236245,4483.960948,22639.40812,35938.35626
